item_id;name;weight;value;count
23;Kusza;952360;2068204;131
15;Perły;854190;1853562;127
25;Puchar z cynku;978724;2100851;126
20;Mundur;904818;1910501;111
11;Długi miecz;382846;833132;105
7;Hełm;800493;1686515;97
5;Skamieliny;265590;579152;96
13;Naszyjnik;169738;376418;88
21;Trucizna;730061;1528646;79
10;Nóż;323618;677562;78
12;Maska;44676;99192;78
1;Moneta z brązu;225790;471010;75
0;Toporek;32252;68674;73
4;Szmaragdowy pas;35384;78344;71
14;Opalowa zawieszka;610876;1253986;57
2;Korona;468164;944620;51
8;Tusz;823576;1688691;50
3;Diamentowy posążek;489494;962094;24
16;Kołczan;671123;1320297;19
18;Srebrna bransoletka;446517;859835;18
9;Szkatułka;552202;1056157;10
17;Rubinowy pierścień;698180;1301637;3
6;Złota moneta;497911;902698;1
19;Czasomierz;909620;1677534;0
22;Wełniany szal;931932;1827477;0
24;Stara księga;926023;1746556;0
